ID,EDUCATION,ECONMIC
P00008484,5,1
P00008494,4,1
P00008506,5,1
P00008549,2,0
P00008553,5,1
P00008567,5,1
P00008595,2,1
P00008599,2,0
P00008606,4,0
P00008611,4,1
P00008643,3,1
P00008645,2,0
P00008648,1,0
P00008651,3,0
P00008665,3,1
P00008668,3,0
P00008673,4,1
P00008677,5,1
P00008678,5,1
P00008684,3,0
P00008695,5,1
P00008705,5,1
P00008727,3,0
P00008747,1,0
P00008756,2,0
P00008760,3,1
P00008785,4,1
P00008787,4,1
P00008792,7,2
P00008798,4,1
P00008802,7,3
P00008805,2,1
P00008817,3,1
P00008826,5,1
P00008837,2,0
P00008841,2,1
P00008845,2,0
P00008848,2,0
P00008850,3,0
P00008855,2,0
P00008861,3,0
P00008862,5,0
P00008875,3,0
P00008878,2,0
P00008879,5,1
P00008892,3,0
P00008918,3,0
P00008924,3,1
P00008925,1,0
P00008929,5,0
P00008935,4,1
P00008974,4,0
P00008983,2,1
P00008991,3,0
P00008992,2,0
P00009000,3,0
P00009014,3,0
P00009030,5,0
P00009055,2,0
P00009075,2,0
P00009080,5,0
P00009115,4,0
P00009119,2,0
P00009150,5,0
P00009151,2,0
P00009167,7,0
P00009170,3,0
P00009174,3,0
P00009204,2,0
P00009205,2,0
P00009249,5,1
P00009276,3,0
P00009277,2,1
P00009290,3,0
P00009291,3,0
P00009322,6,1
P00009328,4,1
P00009334,3,1
P00009373,1,0
P00009382,5,1
P00009388,2,0
P00009397,5,0
P00009399,5,0
P00009400,5,0
P00009405,6,1
P00009424,3,0
P00009426,5,0
P00009428,1,0
P00009446,4,2
P00009478,1,0
P00009484,5,1
P00009489,1,0
P00009509,5,0
P00009521,3,0
P00009541,4,2
P00009555,2,2
P00009557,3,1
P00009576,3,0
P00009611,3,1
P00009621,5,0
P00009622,4,0
P00009647,5,1
P00009660,3,1
P00009677,2,0
P00009706,3,0
P00009709,4,1
P00009717,1,0
P00009721,2,0
P00009728,5,0
P00009730,5,1
P00009738,5,1
P00009753,3,1
P00009755,2,0
P00009767,2,1
P00009776,5,1
P00009783,1,0
P00009787,2,0
P00009790,3,0
P00009805,3,1
P00009815,1,0
P00009819,2,0
P00009824,6,1
P00009832,1,0
P00009834,3,0
P00009836,5,1
P00009839,2,0
P00009855,2,1
P00009857,3,1
P00009863,3,0
P00009864,3,0
P00009865,5,0
P00009884,3,0
P00009889,2,0
P00009906,3,0
P00009911,4,1
P00009919,2,1
P00009927,2,0
P00009941,3,0
P00009962,5,1
P00009976,2,1
P00009996,1,0
P00010008,2,0
P00010019,1,0
P00010028,3,0
P00010029,3,0
P00010033,3,1
P00010049,2,0
P00010050,3,0
P00010052,2,0
P00010055,1,0
P00010081,4,0
P00010083,1,0
P00010095,5,0
P00010120,3,0
P00010127,2,0
P00010128,3,0
P00010135,4,0
P00010140,7,0
P00010173,5,1
P00010174,7,1
P00010183,2,2
P00010184,2,0
P00010188,5,0
P00010190,3,2
P00010217,2,1
P00010225,2,1
P00010227,3,0
P00010236,3,0
P00010237,3,0
P00010260,2,0
P00010269,3,
P00010288,4,0
P00010302,2,1
P00010304,2,0
P00010310,5,1
P00010313,5,1
P00010329,1,0
P00010334,3,0
P00010359,2,0
P00010389,3,0
P00010409,3,0
P00010445,2,2
P00010472,2,0
P00010522,4,0
P00010530,3,
P00010560,4,0
P00010591,3,0
P00010598,3,1
P00010625,1,0
P00010627,3,0
P00010635,3,
P00010643,4,0
P00010659,3,0
P00010660,4,1
P00010674,3,0
P00010696,5,1
P00010697,5,0
P00010703,2,0
P00010708,1,0
P00010714,4,0
P00010738,3,0
P00010746,2,0
P00010780,2,1
P00010786,4,1
P00010842,2,0
P00010854,3,0
P00010856,3,0
P00010859,2,0
P00010910,3,0
P00010916,3,0
P00010943,2,0
P00010964,2,0
P00010996,3,0
P00011007,2,0
